manufacturer,model_year,body_type,transmission_type,fuel_type,total_kms,total_owners,price,insurance_type,mileage(kmpl),engine(CC),torque(nm),seats,number_of_cylinders,valves_per_cylinder,super_charger,turbo_charger,drive_type,steering_type,cargo_volume,location
Maruti,2017,Sedan,Automatic,Petrol,45000,1,775000.0,Comprehensive,19.12,1373.0,130.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Maruti,2019,Hatchback,Manual,Petrol,36861,1,678000.0,Zero Dep,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Ford,2017,SUV,Manual,Petrol,68000,1,550000.0,Comprehensive,15.9,1496.0,149.0,5.0,3,4,No,No,FWD,Electronic,352.0,Delhi
Maruti,2014,Sedan,Manual,Petrol,68000,1,390000.0,Comprehensive,19.1,1197.0,114.0,5.0,4,4,No,No,FWD,Power,320.0,Delhi
Maruti,2015,Hatchback,Manual,Petrol,38000,1,395000.0,Comprehensive,21.21,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,268.0,Delhi
Renault,2017,Hatchback,Manual,Petrol,39000,1,295000.0,Comprehensive,23.01,999.0,91.0,5.0,3,4,No,No,FWD,Power,300.0,Delhi
Volkswagen,2017,Hatchback,Manual,Petrol,40000,1,599000.0,Comprehensive,16.2,1199.0,110.0,5.0,3,4,No,No,FWD,Power,280.0,Delhi
MG,2020,SUV,Automatic,Petrol,18000,1,1749000.0,Comprehensive,11.67,1451.0,250.0,6.0,4,4,No,Yes,FWD,Power,155.0,Delhi
Maruti,2019,Hatchback,Automatic,Petrol,60000,1,399000.0,Comprehensive,20.51,998.0,90.0,5.0,3,4,No,No,FWD,Power,180.0,Delhi
Ford,2018,Sedan,Manual,Diesel,40000,1,449000.0,Comprehensive,25.83,1498.0,215.0,5.0,4,2,No,Yes,FWD,Power,359.0,Delhi
Maruti,2018,Hatchback,Manual,Petrol,68000,1,300000.0,Comprehensive,23.95,998.0,90.0,5.0,3,4,No,No,FWD,Power,177.0,Delhi
Maruti,2017,Hatchback,Manual,Petrol,40000,2,449000.0,Comprehensive,20.89,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,260.0,Delhi
Maruti,2014,Hatchback,Manual,Petrol,37000,1,295000.0,Comprehensive,21.79,998.0,90.0,5.0,3,4,No,No,FWD,Power,341.0,Delhi
Maruti,2018,Sedan,Automatic,Petrol,21912,1,649000.0,Zero Dep,21.21,1197.0,113.0,5.0,4,4,No,No,FWD,Power,378.0,Delhi
Hyundai,2013,Hatchback,Manual,Petrol,74564,1,274000.0,Third Party insurance,20.36,1197.0,111.7,5.0,4,4,No,No,FWD,Power,378.0,Delhi
Maruti,2019,Hatchback,Manual,Petrol,48000,1,375000.0,Comprehensive,24.7,796.0,69.0,5.0,3,4,No,No,FWD,Power,177.0,Delhi
Honda,2017,Sedan,Automatic,Petrol,96758,1,801000.0,Comprehensive,18.0,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Honda,2018,Sedan,Manual,Diesel,60341,1,591000.0,Zero Dep,25.8,1498.0,200.0,5.0,4,4,No,Yes,FWD,Power,400.0,Delhi
Maruti,2017,Hatchback,Manual,Petrol,36973,1,434000.0,Third Party insurance,20.4,1197.0,113.0,5.0,4,4,No,No,FWD,Power,204.0,Delhi
Maruti,2017,Sedan,Manual,Diesel,39000,1,699000.0,Comprehensive,28.09,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,510.0,Delhi
Maruti,2013,Hatchback,Manual,Petrol,52514,1,271000.0,Third Party insurance,18.9,998.0,90.0,5.0,3,4,No,No,FWD,Power,510.0,Delhi
Maruti,2022,Hatchback,Manual,Petrol,13001,1,555000.0,Comprehensive,21.5,1197.0,113.0,5.0,4,4,No,No,FWD,Power,341.0,Delhi
Hyundai,2018,SUV,Manual,Diesel,72000,1,825000.0,Comprehensive,22.1,1396.0,219.7,5.0,4,4,No,No,FWD,Power,400.0,Delhi
Ford,2017,SUV,Manual,Petrol,62000,1,599000.0,Comprehensive,15.9,1496.0,149.0,5.0,3,4,No,No,FWD,Electronic,352.0,Delhi
Toyota,2017,Sedan,Manual,Petrol,34000,1,481000.0,Comprehensive,16.78,1496.0,132.0,5.0,4,4,No,No,FWD,Power,595.0,Delhi
Honda,2015,Sedan,Manual,Petrol,67000,1,385000.0,Comprehensive,18.0,1198.0,109.0,5.0,4,4,No,No,FWD,Power,400.0,Delhi
Volkswagen,2019,Hatchback,Manual,Petrol,45000,1,699000.0,Comprehensive,18.78,999.0,95.0,5.0,3,4,No,No,FWD,Power,280.0,Delhi
Maruti,2013,Sedan,Manual,Petrol,64000,1,331000.0,Comprehensive,20.85,1197.0,115.0,5.0,4,4,No,No,FWD,Power,320.0,Delhi
Chevrolet,2013,Hatchback,Manual,Petrol,58000,2,178000.0,Comprehensive,18.6,1199.0,108.0,5.0,4,4,No,No,FWD,Power,170.0,Delhi
Hyundai,2017,SUV,Automatic,Petrol,48000,2,925000.0,Comprehensive,14.8,1591.0,151.0,5.0,4,4,No,No,FWD,Power,400.0,Delhi
Maruti,2013,Hatchback,Manual,Petrol,70000,1,290000.0,Comprehensive,18.5,1197.0,114.0,5.0,4,4,No,No,FWD,Power,236.0,Delhi
Maruti,2017,Sedan,Automatic,Petrol,59863,2,570000.0,Comprehensive,19.12,1373.0,130.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Maruti,2022,Hatchback,Manual,Cng,18468,1,492000.0,Zero Dep,31.59,796.0,60.0,4.0,3,4,No,No,FWD,Power,510.0,Delhi
Ford,2018,Hatchback,Manual,Petrol,42173,2,530000.0,Third Party insurance,19.0,1194.0,120.0,5.0,3,4,No,No,FWD,Power,257.0,Delhi
Ford,2015,SUV,Automatic,Petrol,68631,2,465000.0,Comprehensive,14.7,1496.0,149.0,5.0,3,4,No,No,FWD,Electronic,352.0,Delhi
Maruti,2021,Hatchback,Manual,Petrol,18833,1,351000.0,Zero Dep,22.05,796.0,69.0,5.0,3,4,No,No,FWD,Electronic,352.0,Delhi
Maruti,2021,Hatchback,Manual,Petrol,55418,1,515000.0,Third Party insurance,20.89,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,260.0,Delhi
Maruti,2013,Hatchback,Manual,Petrol,20000,1,225000.0,Third Party insurance,20.51,998.0,90.0,5.0,3,4,No,No,FWD,Power,180.0,Delhi
Renault,2020,MUV,Manual,Petrol,53400,1,620000.0,Zero Dep,20.0,999.0,96.0,7.0,3,4,No,No,FWD,Electronic,84.0,Delhi
Renault,2018,Hatchback,Manual,Petrol,25000,1,349000.0,Comprehensive,23.01,999.0,91.0,5.0,3,4,No,No,FWD,Power,300.0,Delhi
Jeep,2019,SUV,Automatic,Petrol,87576,1,1385000.0,Comprehensive,14.1,1368.0,250.0,5.0,4,4,No,Yes,Two Wheel Drive,Power,408.0,Delhi
Honda,2014,Hatchback,Manual,Petrol,58000,1,290000.0,Comprehensive,19.4,1198.0,109.0,5.0,4,4,No,No,FWD,Power,175.0,Delhi
Datsun,2015,MUV,Manual,Petrol,75000,1,285000.0,Comprehensive,19.44,1198.0,104.0,7.0,3,4,No,No,FWD,Power,347.0,Delhi
Volkswagen,2013,Sedan,Automatic,Petrol,69000,1,330000.0,Comprehensive,14.8,1598.0,153.0,5.0,4,4,No,No,Two Wheel Drive,Power,347.0,Delhi
Mahindra,2015,SUV,Manual,Diesel,20000,1,549000.0,Comprehensive,16.55,2498.0,247.0,6.0,4,4,No,Yes,4WD,Power,384.0,Delhi
Maruti,2020,Hatchback,Manual,Petrol,45000,1,365000.0,Comprehensive,22.05,796.0,69.0,5.0,3,4,No,Yes,4WD,Power,384.0,Delhi
Maruti,2021,Sedan,Manual,Cng,20000,1,650000.0,Third Party insurance,26.55,1197.0,95.0,5.0,4,4,No,No,4WD,Power,384.0,Delhi
Maruti,2015,SUV,Manual,Diesel,70000,1,449000.0,Comprehensive,23.65,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,353.0,Delhi
Honda,2017,Hatchback,Automatic,Petrol,72000,1,599000.0,Comprehensive,19.0,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Delhi
Tata,2020,Hatchback,Manual,Petrol,25000,1,499000.0,Comprehensive,20.09,1199.0,113.0,5.0,3,4,No,Yes,4x4,Electronic,354.0,Delhi
Lexus,2020,SUV,Automatic,Petrol,19000,1,8800000.0,Comprehensive,18.8,3456.0,335.0,5.0,6,4,No,Yes,All Wheel Drive,Electronic,354.0,Delhi
Skoda,2022,Sedan,Automatic,Petrol,11332,1,1358000.0,Zero Dep,18.07,999.0,178.0,5.0,3,4,No,Yes,FWD,Electronic,521.0,Delhi
Maruti,2016,Hatchback,Manual,Petrol,25456,1,560000.0,Comprehensive,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Maruti,2013,Hatchback,Manual,Petrol,65000,2,275000.0,Comprehensive,21.79,998.0,90.0,5.0,3,4,No,No,FWD,Power,341.0,Delhi
Honda,2017,Hatchback,Automatic,Petrol,93616,1,586000.0,Zero Dep,19.0,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Delhi
Maruti,2017,Hatchback,Automatic,Petrol,74134,1,463000.0,Comprehensive,26.0,998.0,89.0,5.0,3,4,No,No,FWD,Electronic,313.0,Delhi
Renault,2018,SUV,Automatic,Petrol,70000,1,699000.0,Comprehensive,14.99,1498.0,142.0,5.0,4,4,No,No,FWD,Power,475.0,Delhi
Maruti,2018,Hatchback,Manual,Diesel,62411,2,593000.0,Zero Dep,27.39,1248.0,190.0,5.0,4,4,No,Yes,FWD,Power,339.0,Delhi
Mercedes-Benz,2012,Sedan,Automatic,Petrol,56000,2,1050000.0,Third Party insurance,12.3,1796.0,285.0,5.0,4,4,No,No,Two Wheel Drive,Power,540.0,Delhi
Mahindra,2018,SUV,Manual,Diesel,63661,2,567000.0,Third Party insurance,25.32,1198.0,190.0,5.0,3,4,No,Yes,FWD,Power,243.0,Delhi
MG,2021,SUV,Automatic,Petrol,24000,1,1750000.0,Comprehensive,25.32,1451.0,250.0,6.0,4,4,No,Yes,FWD,Power,155.0,Delhi
Volkswagen,2022,SUV,Manual,Petrol,14000,1,1650000.0,Comprehensive,17.88,1498.0,250.0,5.0,4,4,No,Yes,FWD,Electronic,385.0,Delhi
Mahindra,2017,SUV,Manual,Diesel,70000,1,930000.0,Third Party insurance,16.0,1997.0,320.0,7.0,4,4,No,Yes,FWD,Power,720.0,Delhi
Honda,2018,SUV,Manual,Petrol,50000,1,749000.0,Comprehensive,17.5,1199.0,110.0,5.0,4,4,No,No,FWD,Electronic,363.0,Delhi
Volkswagen,2011,Sedan,Manual,Petrol,74000,1,249000.0,Comprehensive,15.04,1598.0,153.0,5.0,4,4,No,No,FWD,Power,480.0,Delhi
Tata,2018,SUV,Manual,Diesel,70000,1,899000.0,Comprehensive,17.6,2179.0,400.0,7.0,4,4,No,Yes,All Wheel Drive,Power,128.0,Delhi
Hyundai,2013,Hatchback,Manual,Petrol,65000,1,225000.0,Third Party insurance,19.81,1086.0,99.04,5.0,4,3,No,No,FWD,Power,225.0,Delhi
Maruti,2015,Hatchback,Manual,Diesel,40000,1,399000.0,Comprehensive,27.39,1248.0,190.0,5.0,4,4,No,Yes,FWD,Power,339.0,Delhi
Chevrolet,2010,Hatchback,Manual,Petrol,60000,3,399000.0,Third Party insurance,18.0,995.0,90.3,5.0,4,2,No,No,FWD,Power,170.0,Delhi
Honda,2010,Sedan,Automatic,Petrol,81000,3,225000.0,Comprehensive,16.8,1497.0,146.0,5.0,4,4,No,No,FWD,Power,506.0,Delhi
Maruti,2012,Hatchback,Manual,Petrol,80000,1,137000.0,Third Party insurance,19.7,796.0,62.0,5.0,3,4,No,No,Two Wheel Drive,Manual,506.0,Delhi
Maruti,2014,Sedan,Manual,Diesel,107539,1,389000.0,Comprehensive,23.4,1248.0,190.0,5.0,4,4,No,Yes,FWD,Power,320.0,Delhi
Maruti,2016,Hatchback,Manual,Petrol,52059,1,548000.0,Comprehensive,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
MG,2021,SUV,Manual,Petrol,70000,1,1695000.0,Third Party insurance,15.81,1451.0,250.0,5.0,4,4,No,Yes,FWD,Power,587.0,Delhi
Hyundai,2021,Hatchback,Manual,Petrol,5732,1,874000.0,Zero Dep,21.0,1197.0,114.74,5.0,4,4,No,No,FWD,Electronic,311.0,Delhi
Honda,2018,Sedan,Manual,Petrol,53034,1,596000.0,Comprehensive,19.5,1199.0,110.0,5.0,4,4,No,No,FWD,Power,420.0,Delhi
Honda,2009,Sedan,Manual,Petrol,80000,3,179000.0,Third Party insurance,17.0,1497.0,146.0,5.0,4,4,No,No,FWD,Power,506.0,Delhi
Maruti,2017,Hatchback,Manual,Petrol,66462,2,501000.0,Zero Dep,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Mahindra,2013,SUV,Manual,Diesel,70000,1,575000.0,Third Party insurance,15.1,2179.0,330.0,7.0,4,4,No,Yes,All Wheel Drive,Power,339.0,Delhi
Maruti,2017,Hatchback,Manual,Petrol,52444,1,495000.0,Third Party insurance,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Tata,2014,SUV,Manual,Diesel,60000,1,500000.0,Third Party insurance,14.0,2179.0,320.0,7.0,4,4,No,Yes,FWD,Power,339.0,Delhi
MG,2019,SUV,Automatic,Petrol,40000,2,1500000.0,Third Party insurance,13.96,1451.0,250.0,5.0,4,4,No,Yes,FWD,Power,587.0,Delhi
Hyundai,2022,Hatchback,Manual,Petrol,10000,1,725000.0,Third Party insurance,20.7,1197.0,113.8,5.0,4,4,No,No,FWD,Electronic,587.0,Delhi
Toyota,2022,SUV,Manual,Petrol,10000,1,1030000.0,Third Party insurance,17.03,1462.0,138.0,5.0,4,4,No,No,FWD,Electronic,328.0,Delhi
Maruti,2017,Sedan,Manual,Diesel,70000,1,650000.0,Third Party insurance,28.09,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,510.0,Delhi
Hyundai,2014,Hatchback,Automatic,Petrol,14000,1,450000.0,Comprehensive,18.9,1197.0,114.0,5.0,4,4,No,No,FWD,Power,256.0,Delhi
Ford,2019,SUV,Manual,Diesel,39500,1,689000.0,Third Party insurance,21.7,1498.0,215.0,5.0,4,4,No,Yes,FWD,Electronic,352.0,Delhi
Skoda,2018,Sedan,Manual,Petrol,64213,1,1250000.0,Comprehensive,16.7,1395.0,250.0,5.0,4,4,No,Yes,FWD,Power,590.0,Delhi
Maruti,2021,Hatchback,Manual,Petrol,20000,2,310000.0,Third Party insurance,22.05,796.0,69.0,5.0,3,4,No,Yes,FWD,Power,590.0,Delhi
Kia,2019,SUV,Manual,Petrol,60000,1,1200000.0,Comprehensive,16.5,1353.0,242.0,5.0,4,4,No,Yes,FWD,Electronic,433.0,Delhi
Isuzu,2018,Pickup Trucks,Manual,Diesel,120000,1,1280000.0,Third Party insurance,12.4,2499.0,320.0,5.0,4,4,No,Yes,4WD,Power,433.0,Delhi
Hyundai,2017,Hatchback,Manual,Petrol,48768,2,452000.0,Zero Dep,18.9,1197.0,113.75,5.0,4,4,No,No,FWD,Power,256.0,Delhi
Maruti,2020,Hatchback,Manual,Petrol,91970,2,404000.0,Comprehensive,25.24,998.0,89.0,5.0,3,4,No,No,FWD,Electronic,313.0,Delhi
Kia,2023,SUV,Automatic,Petrol,7100,1,2025000.0,Comprehensive,17.9,1482.0,253.0,5.0,4,4,No,Yes,Two Wheel Drive,Electronic,433.0,Delhi
Maruti,2016,Hatchback,Manual,Petrol,34936,1,473000.0,Zero Dep,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Honda,2011,Hatchback,Manual,Petrol,64071,3,252000.0,Third Party insurance,16.7,1198.0,110.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Honda,2022,SUV,Manual,Petrol,10000,1,950000.0,Comprehensive,16.5,1199.0,110.0,5.0,4,4,No,No,FWD,Electronic,363.0,Delhi
Maruti,2018,Hatchback,Automatic,Petrol,60443,1,633000.0,Zero Dep,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Honda,2017,Sedan,Automatic,Petrol,56000,1,875000.0,Comprehensive,18.0,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Maruti,2015,Hatchback,Manual,Petrol,10056,2,413000.0,Comprehensive,22.38,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,268.0,Delhi
Honda,2020,Sedan,Manual,Petrol,13000,1,1100000.0,Comprehensive,17.4,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Hyundai,2020,SUV,Manual,Diesel,80000,1,1250000.0,Comprehensive,17.4,1493.0,250.0,5.0,4,4,No,Yes,FWD,Power,510.0,Delhi
Land Rover,2019,SUV,Automatic,Diesel,53000,1,4150000.0,Third Party insurance,15.68,1999.0,430.0,5.0,4,4,No,Yes,4WD,Power,575.0,Delhi
Maruti,2012,SUV,Manual,Petrol,110000,2,650000.0,Third Party insurance,10.4,2393.0,225.0,5.0,4,4,No,No,4WD,Power,398.0,Delhi
Maruti,2012,Hatchback,Manual,Petrol,60000,1,300000.0,Third Party insurance,18.9,998.0,90.0,5.0,3,4,No,No,FWD,Power,398.0,Delhi
Mercedes-Benz,2022,Sedan,Automatic,Petrol,22000,1,5700000.0,Comprehensive,16.9,1496.0,300.0,5.0,4,4,No,Yes,FWD,Power,540.0,Delhi
Maruti,2022,Hatchback,Manual,Petrol,30000,1,713000.0,Third Party insurance,22.38,1197.0,113.0,5.0,4,4,No,Yes,FWD,Electronic,268.0,Delhi
Ford,2015,SUV,Automatic,Petrol,90000,2,515000.0,Third Party insurance,15.63,1499.0,140.0,5.0,4,4,No,No,FWD,Power,346.0,Delhi
Maruti,2020,Hatchback,Manual,Petrol,50000,1,600000.0,Third Party insurance,21.01,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,339.0,Delhi
Tata,2022,SUV,Automatic,Diesel,22000,1,2090000.0,Comprehensive,14.6,1956.0,350.0,5.0,4,4,No,Yes,FWD,Power,425.0,Delhi
Maruti,2016,Sedan,Automatic,Petrol,48000,1,690000.0,Third Party insurance,19.12,1373.0,130.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Maruti,2016,Hatchback,Manual,Petrol,35467,1,513000.0,Comprehensive,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Hyundai,2017,Sedan,Automatic,Petrol,54481,1,850000.0,Comprehensive,17.0,1591.0,151.0,5.0,4,4,No,No,FWD,Power,480.0,Delhi
Maruti,2022,SUV,Manual,Petrol,24000,1,835000.0,Comprehensive,20.15,1462.0,136.8,5.0,4,4,No,No,FWD,Electronic,328.0,Delhi
Hyundai,2017,Hatchback,Manual,Petrol,76181,1,439000.0,Comprehensive,18.9,1197.0,113.75,5.0,4,4,No,No,FWD,Power,256.0,Delhi
Maruti,2020,Hatchback,Manual,Petrol,23842,1,720000.0,Comprehensive,21.01,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,339.0,Delhi
Maruti,2022,SUV,Manual,Petrol,20000,2,942000.0,Third Party insurance,17.03,1462.0,138.0,5.0,4,4,No,No,FWD,Electronic,328.0,Delhi
Honda,2014,Sedan,Automatic,Petrol,94407,1,538000.0,Comprehensive,18.0,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Hyundai,2009,Sedan,Manual,Petrol,80000,1,100000.0,Third Party insurance,16.36,1495.0,124.6,5.0,4,3,No,No,FWD,Power,380.0,Delhi
Maruti,2016,Hatchback,Manual,Petrol,124245,1,491000.0,Third Party insurance,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Honda,2022,Sedan,Automatic,Petrol,5100,1,925000.0,Comprehensive,18.3,1199.0,110.0,5.0,4,4,No,No,FWD,Electronic,420.0,Delhi
Toyota,2022,SUV,Manual,Petrol,30000,1,1060000.0,Third Party insurance,17.03,1462.0,138.0,5.0,4,4,No,No,FWD,Electronic,328.0,Delhi
Toyota,2012,SUV,Manual,Diesel,120000,2,900000.0,Third Party insurance,13.0,2982.0,343.0,7.0,4,4,No,Yes,FWD,Power,296.0,Delhi
Maruti,2018,SUV,Manual,Diesel,50000,1,670000.0,Comprehensive,24.3,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,328.0,Delhi
Ford,2017,SUV,Manual,Petrol,89698,1,500000.0,Comprehensive,18.88,999.0,170.0,5.0,3,4,No,Yes,FWD,Power,346.0,Delhi
Audi,2014,Sedan,Automatic,Diesel,18000,2,1250000.0,Third Party insurance,16.55,1968.0,320.0,5.0,4,4,No,Yes,FWD,Power,480.0,Delhi
Maruti,2009,Hatchback,Manual,Petrol,100000,3,110000.0,Third Party insurance,16.1,1298.0,11.5,5.0,4,4,No,No,FWD,Power,232.0,Delhi
Hyundai,2010,Hatchback,Manual,Petrol,60000,2,150000.0,Third Party insurance,17.92,1086.0,96.1,5.0,3,4,No,No,FWD,Power,232.0,Delhi
Ford,2019,SUV,Automatic,Diesel,30000,2,3200000.0,Third Party insurance,10.91,3198.0,470.0,7.0,4,4,No,Yes,4WD,Power,232.0,Delhi
Hyundai,2014,Hatchback,Manual,Lpg,30000,1,240000.0,Third Party insurance,19.0,1086.0,99.1,5.0,4,3,No,No,FWD,Power,232.0,Delhi
Honda,2014,Sedan,Manual,Petrol,100000,3,460000.0,Third Party insurance,17.4,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Hyundai,2016,Hatchback,Manual,Petrol,58193,1,411000.0,Comprehensive,18.9,1197.0,114.0,5.0,4,4,No,No,FWD,Power,256.0,Delhi
Maruti,2017,Hatchback,Manual,Petrol,68621,2,481000.0,Comprehensive,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Honda,2017,SUV,Manual,Petrol,50000,1,670000.0,Third Party insurance,17.5,1199.0,110.0,5.0,4,4,No,No,FWD,Electronic,363.0,Delhi
Maruti,2020,Hatchback,Manual,Petrol,23399,1,724000.0,Comprehensive,21.01,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,339.0,Delhi
Hyundai,2017,Hatchback,Manual,Petrol,60915,1,546000.0,Third Party insurance,17.19,1197.0,114.73,5.0,4,4,No,No,FWD,Power,285.0,Delhi
Maruti,2018,MUV,Manual,Cng,44000,1,799000.0,Comprehensive,17.5,1373.0,112.0,7.0,4,4,No,No,FWD,Power,135.0,Delhi
Volkswagen,2013,Hatchback,Manual,Petrol,101297,1,278000.0,Comprehensive,16.47,1198.0,110.0,5.0,3,4,No,No,FWD,Power,135.0,Delhi
Honda,2023,Sedan,Automatic,Petrol,10000,1,1575000.0,Third Party insurance,18.4,1498.0,145.0,5.0,4,4,No,No,FWD,Electronic,506.0,Delhi
Honda,2013,Hatchback,Manual,Petrol,73883,1,261000.0,Third Party insurance,19.4,1198.0,109.0,5.0,4,4,No,No,FWD,Power,175.0,Delhi
Tata,2014,SUV,Manual,Diesel,75000,1,415000.0,Third Party insurance,14.0,2179.0,320.0,7.0,4,4,No,Yes,FWD,Power,175.0,Delhi
Mahindra,2018,Hatchback,Manual,Diesel,69000,1,399000.0,Comprehensive,25.32,1198.0,190.0,5.0,3,4,No,Yes,FWD,Power,243.0,Delhi
Hyundai,2011,Hatchback,Automatic,Petrol,58632,1,220000.0,Comprehensive,16.95,1197.0,111.8,5.0,4,4,No,No,FWD,Power,243.0,Delhi
Honda,2011,Sedan,Automatic,Petrol,41352,1,330000.0,Comprehensive,13.9,1799.0,171.6,5.0,4,4,No,No,FWD,Power,405.0,Delhi
Maruti,2015,Sedan,Manual,Petrol,37000,1,435000.0,Comprehensive,19.1,1197.0,114.0,5.0,4,4,No,No,FWD,Power,320.0,Delhi
MG,2021,SUV,Automatic,Petrol,20100,1,1750000.0,Third Party insurance,19.1,1451.0,250.0,5.0,4,4,No,Yes,FWD,Power,587.0,Delhi
Mahindra,2019,SUV,Automatic,Diesel,50000,1,1475000.0,Third Party insurance,15.1,2179.0,360.0,7.0,4,4,No,Yes,FWD,Power,587.0,Delhi
Maruti,2018,Hatchback,Manual,Petrol,90000,1,450000.0,Third Party insurance,20.89,1197.0,113.0,5.0,4,4,No,Yes,FWD,Electronic,260.0,Delhi
Mercedes-Benz,2020,Sedan,Automatic,Petrol,7800,1,4400000.0,Comprehensive,11.9,1950.0,280.0,5.0,4,4,No,Yes,RWD,Power,480.0,Delhi
Maruti,2016,Sedan,Manual,Diesel,120000,1,380000.0,Third Party insurance,26.59,1248.0,190.0,5.0,4,4,No,Yes,FWD,Power,320.0,Delhi
Hyundai,2010,Hatchback,Manual,Cng,120000,1,380000.0,Third Party insurance,17.0,1086.0,190.0,5.0,4,4,No,Yes,FWD,Power,320.0,Delhi
Maruti,2020,Hatchback,Manual,Petrol,59014,1,675000.0,Zero Dep,21.01,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,339.0,Delhi
Honda,2017,Hatchback,Automatic,Petrol,43148,1,527000.0,Zero Dep,16.5,1198.0,109.0,5.0,4,4,No,No,FWD,Power,175.0,Delhi
Ford,2019,SUV,Automatic,Diesel,79000,1,2990000.0,Comprehensive,12.62,2198.0,385.0,7.0,4,4,No,Yes,FWD,Power,175.0,Delhi
Maruti,2015,Sedan,Manual,Petrol,89352,1,380000.0,Comprehensive,22.41,1197.0,113.0,5.0,4,4,No,Yes,FWD,Electronic,378.0,Delhi
Tata,2021,Sedan,Manual,Petrol,38511,1,689000.0,Third Party insurance,19.28,1199.0,113.0,5.0,3,4,No,Yes,FWD,Electronic,419.0,Delhi
Mercedes-Benz,2015,SUV,Automatic,Diesel,54000,1,2400000.0,Comprehensive,15.26,2143.0,500.0,5.0,4,4,No,Yes,All Wheel Drive,Power,690.0,Delhi
Maruti,2016,Hatchback,Manual,Petrol,66584,1,474000.0,Zero Dep,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Delhi
Ford,2017,SUV,Automatic,Diesel,48000,1,2550000.0,Third Party insurance,10.91,3198.0,470.0,7.0,4,4,No,Yes,4WD,Power,339.0,Delhi
Maruti,2020,Hatchback,Manual,Petrol,19418,1,577000.0,Third Party insurance,20.89,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,260.0,Delhi
Mercedes-Benz,2016,Sedan,Automatic,Petrol,72000,1,2550000.0,Comprehensive,14.74,1991.0,300.0,5.0,4,4,No,Yes,RWD,Power,480.0,Delhi
Toyota,2018,Sedan,Automatic,Petrol,23000,1,895000.0,Comprehensive,17.8,1496.0,140.0,5.0,4,4,No,No,FWD,Power,476.0,Delhi
Nissan,2012,Sedan,Manual,Petrol,50000,1,250000.0,Third Party insurance,16.95,1498.0,134.0,5.0,4,4,No,No,FWD,Power,490.0,Delhi
Kia,2022,SUV,Manual,Diesel,20000,1,1025000.0,Third Party insurance,16.95,1493.0,240.0,5.0,4,4,No,Yes,FWD,Electronic,392.0,Delhi
Honda,2021,Sedan,Manual,Petrol,30000,1,900000.0,Third Party insurance,17.4,1497.0,145.0,5.0,4,4,No,Yes,FWD,Electronic,510.0,Delhi
Hyundai,2020,SUV,Manual,Petrol,42000,1,650000.0,Comprehensive,17.52,1197.0,113.76,5.0,4,4,No,No,FWD,Electronic,350.0,Delhi
Maruti,2023,Sedan,Automatic,Petrol,600,1,1175000.0,Comprehensive,20.04,1462.0,138.0,5.0,4,4,No,No,FWD,Power,510.0,Delhi
Chevrolet,2010,Sedan,Manual,Petrol,30000,3,186000.0,Third Party insurance,12.9,1598.0,148.0,5.0,4,4,No,No,FWD,Power,405.0,Delhi
