manufacturer,model_year,body_type,transmission_type,fuel_type,total_kms,total_owners,price,insurance_type,mileage(kmpl),engine(CC),torque(nm),seats,number_of_cylinders,valves_per_cylinder,super_charger,turbo_charger,drive_type,steering_type,cargo_volume,location
Maruti,2014,Hatchback,Automatic,Petrol,53982,1,428000.0,Comprehensive,26.68,998.0,89.0,5.0,3,4,No,No,FWD,Electronic,313.0,Bangalore
Skoda,2014,Sedan,Manual,Diesel,110000,1,695000.0,Third Party insurance,21.14,1498.0,250.0,5.0,4,4,No,Yes,FWD,Power,460.0,Bangalore
Ford,2019,SUV,Manual,Petrol,37741,2,930000.0,Third Party insurance,15.9,1496.0,149.0,5.0,3,4,No,No,FWD,Electronic,352.0,Bangalore
Maruti,2021,Hatchback,Manual,Petrol,17367,1,455000.0,Comprehensive,22.05,796.0,69.0,5.0,3,4,No,No,FWD,Electronic,352.0,Bangalore
Hyundai,2017,SUV,Manual,Diesel,94000,1,1195000.0,Comprehensive,19.67,1582.0,259.9,5.0,4,4,No,Yes,FWD,Power,400.0,Bangalore
Tata,2021,SUV,Automatic,Diesel,33700,1,2175000.0,Comprehensive,14.6,1956.0,350.0,5.0,4,4,No,Yes,FWD,Power,425.0,Bangalore
Maruti,2014,Hatchback,Manual,Petrol,54601,3,442000.0,Comprehensive,22.38,1197.0,113.0,5.0,4,4,No,Yes,FWD,Electronic,268.0,Bangalore
Maruti,2018,Hatchback,Manual,Diesel,110000,1,690000.0,Third Party insurance,28.4,1248.0,190.0,5.0,4,4,No,Yes,FWD,Power,268.0,Bangalore
Maruti,2017,Hatchback,Manual,Petrol,64000,2,500000.0,Third Party insurance,23.1,998.0,90.0,5.0,3,4,No,No,FWD,Power,235.0,Bangalore
BMW,2016,Sedan,Automatic,Diesel,40525,1,3395000.0,Comprehensive,21.76,1995.0,400.0,5.0,4,4,No,Yes,RWD,Power,520.0,Bangalore
Maruti,2015,Sedan,Manual,Diesel,100000,1,650000.0,Third Party insurance,26.21,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,510.0,Bangalore
Honda,2016,Hatchback,Automatic,Petrol,44154,2,537000.0,Comprehensive,19.0,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Bangalore
Renault,2016,MUV,Manual,Diesel,70000,1,750000.0,Third Party insurance,19.98,1461.0,245.0,7.0,4,4,No,Yes,FWD,Power,207.0,Bangalore
Skoda,2018,Sedan,Automatic,Petrol,79000,1,1790000.0,Comprehensive,15.1,1798.0,250.0,5.0,4,4,No,Yes,FWD,Power,590.0,Bangalore
Tata,2017,Hatchback,Manual,Petrol,68039,2,468000.0,Third Party insurance,23.84,1199.0,114.0,5.0,3,4,No,No,FWD,Power,242.0,Bangalore
Maruti,2014,Hatchback,Manual,Petrol,60000,2,420000.0,Third Party insurance,18.5,1197.0,114.0,5.0,4,4,No,No,FWD,Power,236.0,Bangalore
Maruti,2014,Hatchback,Manual,Petrol,60000,2,420000.0,Third Party insurance,18.5,1197.0,114.0,5.0,4,4,No,No,FWD,Power,236.0,Bangalore
Hyundai,2021,Hatchback,Manual,Petrol,10000,1,920000.0,Third Party insurance,20.0,998.0,171.62,5.0,3,4,No,Yes,FWD,Electronic,311.0,Bangalore
Honda,2013,Sedan,Manual,Petrol,49873,1,533000.0,Third Party insurance,16.8,1497.0,146.0,5.0,4,4,No,No,FWD,Power,506.0,Bangalore
Volkswagen,2013,Hatchback,Automatic,Petrol,90000,3,850000.0,Third Party insurance,17.2,1197.0,175.0,5.0,4,4,No,Yes,FWD,Power,506.0,Bangalore
Skoda,2017,Sedan,Manual,Diesel,48960,2,751000.0,Third Party insurance,21.13,1498.0,250.0,5.0,4,4,No,Yes,FWD,Power,460.0,Bangalore
Hyundai,2014,Hatchback,Manual,Diesel,70000,2,388000.0,Third Party insurance,24.0,1120.0,160.0,5.0,3,4,No,No,FWD,Power,256.0,Bangalore
Hyundai,2013,Hatchback,Manual,Petrol,68000,2,490000.0,Comprehensive,18.5,1197.0,113.7,5.0,4,4,No,No,FWD,Power,256.0,Bangalore
Mahindra,2016,SUV,Manual,Diesel,23017,1,494000.0,Third Party insurance,25.32,1198.0,190.0,6.0,3,4,No,Yes,FWD,Power,243.0,Bangalore
Hyundai,2013,Hatchback,Manual,Diesel,83000,2,525000.0,Comprehensive,21.27,1396.0,219.6,5.0,4,4,No,No,FWD,Power,243.0,Bangalore
BMW,2016,SUV,Automatic,Diesel,92000,2,2890000.0,Comprehensive,16.55,1995.0,400.0,5.0,4,4,No,Yes,4WD,Electronic,243.0,Bangalore
Maruti,2018,Hatchback,Manual,Petrol,62139,1,550000.0,Comprehensive,20.51,998.0,90.0,5.0,3,4,No,No,FWD,Power,180.0,Bangalore
Hyundai,2013,Hatchback,Manual,Lpg,74000,1,365000.0,Comprehensive,19.2,1086.0,99.04,5.0,4,3,No,No,FWD,Power,225.0,Bangalore
Renault,2016,Hatchback,Automatic,Petrol,26500,2,420000.0,Comprehensive,24.04,999.0,91.0,5.0,3,4,No,No,FWD,Power,300.0,Bangalore
Volvo,2017,Sedan,Automatic,Diesel,81716,1,1895000.0,Comprehensive,27.03,1969.0,400.0,5.0,4,4,No,Yes,FWD,Power,380.0,Bangalore
Mercedes-Benz,2018,Sedan,Automatic,Diesel,24000,2,5990000.0,Comprehensive,17.0,2987.0,620.0,5.0,6,4,No,Yes,RWD,Electronic,540.0,Bangalore
Mahindra,2022,SUV,Automatic,Petrol,10000,1,1050000.0,Third Party insurance,17.0,1197.0,200.0,5.0,3,4,No,Yes,FWD,Power,259.0,Bangalore
MG,2021,SUV,Automatic,Petrol,18000,1,2075000.0,Comprehensive,16.56,1451.0,250.0,6.0,4,4,No,Yes,FWD,Power,155.0,Bangalore
Honda,2013,Hatchback,Manual,Petrol,38197,1,394000.0,Third Party insurance,19.4,1198.0,109.0,5.0,4,4,No,No,FWD,Power,175.0,Bangalore
Maruti,2017,Hatchback,Automatic,Petrol,23000,2,725000.0,Comprehensive,19.56,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,339.0,Bangalore
Maruti,2013,Hatchback,Manual,Petrol,50000,1,240000.0,Third Party insurance,20.92,998.0,90.0,5.0,3,4,No,No,FWD,Power,339.0,Bangalore
Renault,2022,SUV,Automatic,Petrol,10000,1,835000.0,Third Party insurance,19.03,999.0,96.0,5.0,3,4,No,No,FWD,Electronic,405.0,Bangalore
Hyundai,2019,Hatchback,Manual,Petrol,19000,1,695000.0,Third Party insurance,18.9,1197.0,113.75,5.0,4,4,No,No,FWD,Power,256.0,Bangalore
Kia,2020,SUV,Automatic,Petrol,14000,1,1725000.0,Comprehensive,16.5,1353.0,242.0,5.0,4,4,No,Yes,FWD,Electronic,433.0,Bangalore
Hyundai,2014,Hatchback,Manual,Petrol,29268,1,330000.0,Comprehensive,21.1,814.0,74.5,5.0,3,3,No,No,FWD,Power,215.0,Bangalore
Volkswagen,2019,Sedan,Automatic,Petrol,20000,1,990000.0,Third Party insurance,18.19,1197.0,175.0,5.0,4,4,No,Yes,FWD,Power,494.0,Bangalore
Toyota,2018,Sedan,Manual,Petrol,30000,1,750000.0,Third Party insurance,17.1,1496.0,140.0,5.0,4,4,No,No,FWD,Power,476.0,Bangalore
Honda,2018,Hatchback,Automatic,Petrol,64374,1,755000.0,Third Party insurance,19.0,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Bangalore
MG,2021,SUV,Manual,Diesel,30000,1,1750000.0,Third Party insurance,17.41,1956.0,350.0,5.0,4,4,No,Yes,FWD,Power,587.0,Bangalore
Hyundai,2022,SUV,Automatic,Petrol,7100,1,2083000.0,Comprehensive,14.2,1999.0,191.0,6.0,4,4,No,No,FWD,Power,587.0,Bangalore
Hyundai,2010,Hatchback,Manual,Petrol,43679,1,271000.0,Comprehensive,19.81,1086.0,99.04,5.0,4,3,No,No,FWD,Power,587.0,Bangalore
Hyundai,2018,SUV,Automatic,Petrol,40000,1,1280000.0,Third Party insurance,14.8,1591.0,151.0,5.0,4,4,No,No,FWD,Power,400.0,Bangalore
Hyundai,2012,Hatchback,Manual,Diesel,40562,1,436000.0,Third Party insurance,22.54,1396.0,219.6,5.0,4,4,No,No,FWD,Power,400.0,Bangalore
Hyundai,2021,SUV,Automatic,Petrol,26500,2,1675000.0,Comprehensive,22.54,1397.0,242.0,5.0,4,4,No,Yes,FWD,Power,400.0,Bangalore
Hyundai,2019,SUV,Automatic,Petrol,20000,1,1250000.0,Third Party insurance,18.15,998.0,171.6,5.0,3,4,No,Yes,FWD,Power,350.0,Bangalore
Mahindra,2016,SUV,Automatic,Diesel,58600,1,1350000.0,Third Party insurance,16.0,2179.0,330.0,7.0,4,4,No,Yes,FWD,Power,720.0,Bangalore
Hyundai,2019,SUV,Automatic,Petrol,20000,1,1250000.0,Third Party insurance,18.15,998.0,171.6,5.0,3,4,No,Yes,FWD,Power,350.0,Bangalore
Volkswagen,2020,SUV,Automatic,Petrol,42050,1,2225000.0,Comprehensive,18.4,1498.0,250.0,5.0,4,4,No,Yes,FWD,Power,445.0,Bangalore
BMW,2008,Sedan,Automatic,Diesel,80000,2,600000.0,Third Party insurance,13.2,1995.0,34.7,5.0,4,4,No,Yes,FWD,Power,460.0,Bangalore
Jeep,2021,SUV,Automatic,Petrol,30000,1,2450000.0,Third Party insurance,14.1,1368.0,250.0,5.0,4,4,No,Yes,4x2,Power,460.0,Bangalore
Kia,2020,SUV,Automatic,Petrol,20000,1,1625000.0,Third Party insurance,16.5,1353.0,242.0,5.0,4,4,No,Yes,FWD,Electronic,433.0,Bangalore
Skoda,2014,Sedan,Automatic,Diesel,36349,1,1650000.0,Third Party insurance,17.2,1968.0,320.0,5.0,4,4,No,Yes,FWD,Power,565.0,Bangalore
Hyundai,2009,Hatchback,Manual,Petrol,80000,3,249000.0,Third Party insurance,20.36,1197.0,111.8,5.0,4,4,No,No,FWD,Power,565.0,Bangalore
Renault,2014,SUV,Manual,Petrol,83394,2,630000.0,Third Party insurance,13.24,1598.0,145.0,5.0,4,4,No,No,FWD,Power,475.0,Bangalore
Audi,2016,SUV,Automatic,Diesel,30000,2,2599000.0,Third Party insurance,14.16,1968.0,380.0,5.0,4,4,No,Yes,All Wheel Drive,Power,540.0,Bangalore
Hyundai,2009,Hatchback,Manual,Petrol,80000,3,249000.0,Third Party insurance,20.36,1197.0,111.8,5.0,4,4,No,No,FWD,Power,540.0,Bangalore
Maruti,2017,Hatchback,Manual,Petrol,52204,1,385000.0,Third Party insurance,24.39,998.0,89.0,5.0,3,4,No,No,FWD,Power,214.0,Bangalore
Hyundai,2012,Hatchback,Manual,Petrol,110000,3,300000.0,Third Party insurance,17.0,1197.0,11.4,5.0,4,4,No,No,FWD,Power,295.0,Bangalore
Ford,2017,SUV,Automatic,Diesel,89000,1,2975000.0,Third Party insurance,10.91,3198.0,470.0,7.0,4,4,No,Yes,4WD,Power,295.0,Bangalore
Maruti,2014,Hatchback,Manual,Petrol,29813,2,276000.0,Comprehensive,22.05,796.0,69.0,5.0,3,4,No,Yes,4WD,Power,295.0,Bangalore
Ford,2018,Hatchback,Manual,Petrol,30000,1,500000.0,Third Party insurance,18.16,1196.0,112.0,5.0,4,4,No,No,FWD,Power,257.0,Bangalore
Maruti,2020,Hatchback,Automatic,Petrol,13345,1,730000.0,Comprehensive,20.89,1197.0,113.0,5.0,4,4,No,No,FWD,Electronic,260.0,Bangalore
Hyundai,2022,SUV,Automatic,Diesel,17100,1,2245000.0,Comprehensive,18.1,1498.0,250.0,7.0,4,4,No,Yes,FWD,Power,260.0,Bangalore
Hyundai,2014,Hatchback,Manual,Petrol,75000,1,399000.0,Comprehensive,18.9,1197.0,114.0,5.0,4,4,No,No,FWD,Power,256.0,Bangalore
Hyundai,2011,Hatchback,Manual,Petrol,75523,2,312000.0,Comprehensive,20.36,1197.0,111.8,5.0,4,4,No,No,FWD,Power,256.0,Bangalore
Mahindra,2015,SUV,Manual,Diesel,47000,1,1275000.0,Comprehensive,16.0,2179.0,330.0,7.0,4,4,No,Yes,FWD,Power,720.0,Bangalore
Tata,2022,SUV,Manual,Diesel,36500,1,1990000.0,Comprehensive,16.35,1956.0,350.0,5.0,4,4,No,Yes,FWD,Power,425.0,Bangalore
Renault,2020,MUV,Manual,Petrol,28253,1,719000.0,Comprehensive,20.0,999.0,96.0,7.0,3,4,No,Yes,FWD,Electronic,84.0,Bangalore
Hyundai,2016,SUV,Manual,Diesel,50000,1,1260000.0,Third Party insurance,19.67,1582.0,259.9,5.0,4,4,No,Yes,FWD,Power,400.0,Bangalore
Hyundai,2010,Hatchback,Manual,Petrol,90000,2,300000.0,Third Party insurance,20.36,1197.0,111.7,5.0,4,4,No,No,FWD,Power,400.0,Bangalore
BMW,2016,SUV,Automatic,Diesel,70000,2,3981000.0,Third Party insurance,15.97,2993.0,560.0,5.0,6,4,No,Yes,4WD,Power,650.0,Bangalore
Hyundai,2016,Hatchback,Manual,Petrol,52571,1,627000.0,Comprehensive,18.6,1197.0,114.7,5.0,4,4,No,No,FWD,Power,295.0,Bangalore
BMW,2010,Sedan,Automatic,Diesel,70000,2,1300000.0,Third Party insurance,16.07,1995.0,380.0,5.0,4,4,No,Yes,FWD,Power,460.0,Bangalore
Honda,2015,Sedan,Manual,Petrol,61993,1,672000.0,Comprehensive,17.4,1497.0,145.0,5.0,4,4,No,No,FWD,Power,510.0,Bangalore
Hyundai,2017,SUV,Automatic,Diesel,57000,1,1825000.0,Comprehensive,16.38,1995.0,400.11,5.0,4,4,No,Yes,Two Wheel Drive,Power,513.0,Bangalore
Toyota,2021,SUV,Manual,Diesel,80000,2,3500000.0,Third Party insurance,14.24,2755.0,420.0,7.0,4,4,No,Yes,RWD,Power,513.0,Bangalore
